DatumID,newCasesBySpecimenDate,cumCasesBySpecimenDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum,covidOccupiedMVBeds,hospitalCases,newAdmissions,cumAdmissions,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
20200309,53,181,0,0,0,0,5.9,2244,0,0,0,0,2,2
20200310,92,273,0,0,0,0,7.8,2558,0,0,0,0,1,3
20200311,183,456,0,0,0,0,10.7,3071,0,0,0,0,3,6
20200312,165,621,0,0,0,0,12.4,3614,0,0,0,0,6,12
20200313,135,756,0,0,0,0,13.9,4191,0,0,0,0,6,18
20200314,150,906,0,0,0,0,15.5,4757,0,0,0,0,11,29
20200315,165,1071,0,0,0,0,16.9,5151,0,0,0,0,8,37
20200316,233,1304,0,0,0,0,19,5640,0,0,0,0,16,53
20200317,311,1615,0,0,0,0,22.1,6058,0,0,0,0,23,76
20200318,355,1970,0,0,0,0,24.8,6280,0,0,0,0,26,102
20200319,330,2300,0,0,0,0,27.1,6317,0,0,240,240,25,127
20200320,426,2726,0,0,0,0,30.7,6323,0,841,272,512,46,173
20200321,350,3076,0,0,0,0,32.8,6427,0,1081,311,823,46,219
20200322,438,3514,0,0,0,0,35.1,6684,0,1266,335,1158,53,272
20200323,687,4201,0,0,0,0,38.4,7164,0,1559,505,1663,56,328
20200324,632,4833,0,0,0,0,40.7,7623,0,1705,637,2300,87,415
20200325,759,5592,0,0,0,0,43.4,8009,0,2051,675,2975,119,534
20200326,764,6356,0,0,0,0,46.3,8513,0,2244,519,3494,122,656
20200327,817,7173,0,0,0,0,47.5,9221,0,2829,639,4133,127,783
20200328,576,7749,0,0,0,0,48.4,9532,0,3114,551,4684,119,902
20200329,594,8343,0,0,0,0,49.4,9757,0,3464,672,5356,143,1045
20200330,868,9211,0,0,0,0,49.8,10196,0,3638,883,6239,150,1195
20200331,935,10146,0,0,0,0,50.6,10672,0,4073,645,6884,180,1375
20200401,979,11125,0,0,0,0,50.7,11256,0,4219,767,7651,189,1564
20200402,1067,12192,0,0,0,0,51.1,11711,673,4168,835,8486,194,1758
20200403,982,13174,0,0,0,0,51,12067,759,4092,647,9133,192,1950
20200404,765,13939,0,0,0,0,50.4,12565,824,4691,733,9866,225,2175
20200405,632,14571,0,0,0,0,49.8,12793,800,4869,732,10598,196,2371
20200406,857,15428,0,0,0,0,49.3,12830,914,5058,743,11341,197,2568
20200407,951,16379,0,0,0,0,49.2,12771,876,5025,722,12063,221,2789
20200408,875,17254,0,0,0,0,47.5,13102,941,5198,744,12807,232,3021
20200409,801,18055,0,0,0,0,45.9,13016,849,5201,554,13361,199,3220
20200410,616,18671,0,0,0,0,44.7,12654,1057,5168,531,13892,174,3394
20200411,519,19190,0,0,0,0,43.7,12242,1035,4910,490,14382,164,3558
20200412,500,19690,0,0,0,0,42.4,12255,1035,4931,384,14766,170,3728
20200413,596,20286,0,0,0,0,41,11905,1046,4799,416,15182,170,3898
20200414,596,20882,0,0,0,0,39.6,11318,1026,4621,447,15629,143,4041
20200415,660,21542,0,0,0,0,37.3,11445,1023,4509,412,16041,147,4188
20200416,575,22117,0,0,0,0,34.6,11530,1012,4395,388,16429,138,4326
20200417,579,22696,0,0,0,0,32.3,12161,982,4219,358,16787,110,4436
20200418,400,23096,0,0,0,0,30.7,12408,992,3993,283,17070,118,4554
20200419,395,23491,0,0,0,0,29.1,12425,991,4021,290,17360,116,4670
20200420,433,23924,0,0,0,0,27.4,12943,1019,3940,308,17668,97,4767
