Date,BoroughID,grocery_pharmacy,parks,residential,retail_recreation,transit,workplaces
09/03/2020,1,-5,-8,0,-10,-8,-6
09/03/2020,2,1,-14,3,-8,-7,-2
09/03/2020,3,9,23,1,2,-1,-1
09/03/2020,4,12,5,1,-4,-2,-1
09/03/2020,5,4,14,1,0,4,-1
09/03/2020,6,12,11,1,-3,-3,-1
09/03/2020,7,8,-2,2,-3,-3,0
09/03/2020,8,-2,6,2,-7,-9,-3
09/03/2020,9,9,6,1,-3,-3,0
09/03/2020,10,12,3,1,-3,0,0
09/03/2020,11,9,14,0,2,-6,1
09/03/2020,12,5,14,2,1,-5,-2
09/03/2020,13,-4,2,3,-5,-1,-1
09/03/2020,14,6,-1,1,0,-8,-2
09/03/2020,15,7,3,1,-2,-7,-1
09/03/2020,16,8,17,1,-4,-1,0
09/03/2020,17,13,3,1,-4,-17,-1
09/03/2020,18,1,-4,1,3,-3,0
09/03/2020,19,4,-8,2,-10,-5,-3
09/03/2020,20,3,-11,1,-6,-6,-2
09/03/2020,21,5,3,1,3,-3,-1
09/03/2020,22,9,10,1,-11,-8,-1
09/03/2020,23,9,6,1,-4,-6,-3
09/03/2020,24,12,9,1,7,-5,-1
09/03/2020,25,6,9,1,-4,-2,0
09/03/2020,26,6,0,1,-5,-8,-1
09/03/2020,27,10,18,1,-1,-11,2
09/03/2020,28,1,1,2,-12,-14,-2
09/03/2020,29,6,-7,1,5,0,-1
09/03/2020,30,7,2,2,-3,-6,-1
09/03/2020,31,8,7,1,5,0,-1
09/03/2020,32,8,2,2,-6,-6,0
09/03/2020,33,4,1,2,-8,-9,1
10/03/2020,1,-5,-17,0,-14,-10,-2
10/03/2020,2,1,-19,4,-12,-10,-3
10/03/2020,3,10,14,1,2,-1,-1
10/03/2020,4,8,19,2,-5,2,-5
10/03/2020,5,6,0,1,-2,-8,-1
10/03/2020,6,16,3,1,-4,1,-1
10/03/2020,7,10,1,2,-4,-5,0
10/03/2020,8,-1,-4,2,-9,-12,-5
10/03/2020,9,10,4,1,-3,-6,0
10/03/2020,10,14,4,2,-1,-1,0
10/03/2020,11,11,6,1,0,-3,0
10/03/2020,12,11,11,2,-3,-2,-5
10/03/2020,13,-1,-8,3,-8,-3,-2
10/03/2020,14,8,14,2,0,-1,-4
10/03/2020,15,9,5,2,-3,-1,-2
10/03/2020,16,8,-2,1,-6,-4,0
10/03/2020,17,15,-7,1,-5,-17,0
10/03/2020,18,2,6,2,-1,-7,-1
10/03/2020,19,6,-1,2,-9,-5,-4
10/03/2020,20,5,-7,2,-9,-7,-3
10/03/2020,21,6,8,1,-1,-3,-2
10/03/2020,22,10,6,2,-11,-5,-2
10/03/2020,23,12,6,2,-3,-4,-4
10/03/2020,24,14,5,2,8,-6,-3
10/03/2020,25,7,7,2,-6,-8,1
10/03/2020,26,6,-5,2,-5,-8,-3
10/03/2020,27,11,16,2,-3,-6,1
10/03/2020,28,5,-8,3,-13,-11,-4
10/03/2020,29,7,-9,1,1,-5,-3
10/03/2020,30,8,6,3,0,-6,-3
10/03/2020,31,8,-3,2,-2,-5,-2
10/03/2020,32,11,3,3,-9,-10,-2
10/03/2020,33,3,2,2,-11,-7,0
11/03/2020,1,-8,-10,0,-17,-15,-5
11/03/2020,2,0,-17,4,-13,-16,-5
11/03/2020,3,14,23,1,1,-1,-1
11/03/2020,4,10,18,3,-4,-6,-3
11/03/2020,5,7,16,2,2,-5,0
11/03/2020,6,15,18,2,-2,-5,-2
11/03/2020,7,10,14,2,-1,-7,-2
11/03/2020,8,-3,14,4,-13,-17,-7
11/03/2020,9,11,16,2,-1,-5,0
11/03/2020,10,15,15,2,1,-7,-1
11/03/2020,11,14,22,1,1,-9,1
11/03/2020,12,11,24,3,-1,-11,-4
11/03/2020,13,-1,14,3,-6,-7,-4
11/03/2020,14,8,11,2,-2,-13,-4
11/03/2020,15,11,27,2,0,-3,-2
11/03/2020,16,11,12,1,-2,-6,-1
11/03/2020,17,13,32,2,-1,-20,-1
11/03/2020,18,4,10,2,1,-8,-1
11/03/2020,19,8,7,4,-12,-14,-7
11/03/2020,20,5,2,2,-4,-13,-5
11/03/2020,21,9,23,2,3,-5,-2
11/03/2020,22,10,15,2,-7,-10,-2
